episode,offset_x_m,offset_y_m,offset_z_m,target_x_m,target_y_m,target_z_m,initial_distance_cm,success,final_error_cm,time_s,trajectory_length_cm,steps
1,0.05,0.0,0.0,0.35667213939277587,0.0003577038259103114,0.4863976189614135,4.999999999999999,1,4.92497833230838,0.05249524116516113,0.0,1
2,0.08,0.0,0.0,0.38706019005829384,0.00040252179966082023,0.4867663677708628,8.000000000000002,1,4.976918565255528,0.602992057800293,3.9265123736295857,12
3,-0.05,0.0,0.0,0.25736288361023035,0.0007361638885571025,0.4867369007177826,4.999999999999999,1,4.813392514683059,0.05272412300109863,0.0,1
