wall_time,global_step,episode,ep_steps,final_distance_cm,success,ep_reward
20260910_164535,1734,87,16,4.983,1,-1.214
20260910_164537,1739,88,5,4.921,1,-0.2686
20260910_164539,1771,89,32,4.988,1,-2.2944
20260910_164541,1777,90,6,4.766,1,-0.3404
20260910_164544,1805,91,28,4.743,1,-1.9951
20260910_164546,1817,92,12,4.947,1,-0.7111
20260910_164548,1843,93,26,4.959,1,-1.6139
20260910_164550,1858,94,15,4.991,1,-0.9471
20260910_164551,1864,95,6,4.821,1,-0.3396
20260910_164553,1881,96,17,4.905,1,-1.3387
20260910_164555,1886,97,5,4.795,1,-0.2683
20260910_164559,1936,98,50,7.983,0,-4.3015
20260910_164600,1937,99,1,2.786,1,-0.0279
20260910_164601,1944,100,7,4.849,1,-0.409
20260910_164603,1959,101,15,4.586,1,-1.0882
20260910_164605,1963,102,4,4.743,1,-0.2064
20260910_164606,1972,103,9,4.783,1,-0.5476
20260910_164608,1992,104,20,4.803,1,-1.2882
20260910_164612,2025,105,33,4.883,1,-2.1453
20260910_164613,2026,106,1,4.736,1,-0.0474
20260910_164616,2062,107,36,4.824,1,-2.2625
20260910_164619,2102,108,40,4.991,1,-2.7045
20260910_164622,2131,109,29,4.79,1,-1.9094
20260910_164625,2157,110,26,4.753,1,-1.6763
20260910_164627,2176,111,19,4.835,1,-1.1501
20260910_164630,2201,112,25,4.799,1,-1.557
20260910_164631,2202,113,1,3.009,1,-0.0301
20260910_164633,2215,114,13,4.953,1,-0.8143
20260910_164634,2218,115,3,4.886,1,-0.1514
20260910_164637,2264,116,46,4.995,1,-3.042
20260910_164639,2271,117,7,4.828,1,-0.3985
20260910_164640,2272,118,1,4.832,1,-0.0483
20260910_164642,2301,119,29,4.881,1,-2.1108
20260910_164644,2313,120,12,4.932,1,-0.7054
20260910_164647,2337,121,24,4.996,1,-1.728
20260910_164649,2351,122,14,4.944,1,-0.9292
20260910_164652,2382,123,31,4.923,1,-2.4383
20260910_164654,2403,124,21,4.898,1,-1.5635
20260910_164656,2417,125,14,4.892,1,-0.802
20260910_164659,2439,126,22,4.858,1,-1.5382
20260910_164702,2485,127,46,4.959,1,-3.087
20260910_164705,2510,128,25,4.834,1,-1.6167
20260910_164707,2519,129,9,4.728,1,-0.5844
20260910_164710,2558,130,39,4.903,1,-2.7108
20260910_164711,2559,131,1,3.735,1,-0.0373
20260910_164714,2587,132,28,4.998,1,-1.789
20260910_164715,2595,133,8,4.919,1,-0.5234
20260910_164719,2625,134,30,4.725,1,-1.7439
20260910_164720,2630,135,5,4.96,1,-0.2676
20260910_164722,2646,136,16,4.779,1,-1.046
20260910_164724,2661,137,15,4.754,1,-0.8373
20260910_164727,2696,138,35,4.99,1,-2.243
20260910_164729,2711,139,15,4.873,1,-1.0595
20260910_164731,2728,140,17,4.836,1,-1.3079
20260910_164734,2757,141,29,4.807,1,-1.7566
20260910_164736,2776,142,19,4.768,1,-1.1954
20260910_164738,2789,143,13,4.998,1,-0.7966
20260910_164740,2799,144,10,4.798,1,-0.637
20260910_164742,2804,145,5,4.992,1,-0.2701
20260910_164745,2854,146,50,5.686,0,-3.1825
20260910_164747,2858,147,4,4.865,1,-0.2159
20260910_164748,2868,148,10,4.71,1,-0.6682
20260910_164750,2879,149,11,4.769,1,-0.6416
20260910_164753,2901,150,22,4.81,1,-1.458
20260910_164755,2926,151,25,4.965,1,-1.5019
20260910_164758,2946,152,20,4.799,1,-1.3948
20260910_164800,2966,153,20,4.979,1,-1.2997
20260910_164801,2969,154,3,4.845,1,-0.1579
20260910_164803,2995,155,26,4.864,1,-1.4818
20260910_170108,41,1,41,4.858,1,-2.4272
20260910_170110,51,2,10,4.784,1,-0.6024
20260910_170112,74,3,23,4.728,1,-1.2961
20260910_170114,90,4,16,4.818,1,-1.0208
20260910_170116,100,5,10,4.928,1,-0.554
20260910_170117,104,6,4,4.996,1,-0.2138
20260910_170119,133,7,29,4.851,1,-1.6245
20260910_170120,134,8,1,3.8,1,-0.038
20260910_170123,163,9,29,4.855,1,-1.8439
20260910_170126,201,10,38,4.355,1,-2.9882
20260910_170128,205,11,4,4.642,1,-0.2088
20260910_170129,206,12,1,4.444,1,-0.0444
20260910_170130,212,13,6,4.839,1,-0.3436
20260910_170131,213,14,1,2.343,1,-0.0234
20260910_170133,224,15,11,4.892,1,-0.6992
20260910_170135,245,16,21,4.965,1,-1.3609
20260910_170137,265,17,20,4.953,1,-1.3203
20260910_170140,295,18,30,4.801,1,-1.9762
20260910_170142,305,19,10,4.855,1,-0.5923
20260910_170143,320,20,15,4.704,1,-1.1036
20260910_170147,370,21,50,5.015,0,-3.1607
20260910_170149,371,22,1,2.839,1,-0.0284
20260910_170150,378,23,7,4.971,1,-0.4045
20260910_170154,428,24,50,5.393,0,-3.5096
20260910_170158,478,25,50,4.855,1,-3.2849
20260910_170159,486,26,8,4.788,1,-0.5138
20260910_170201,498,27,12,4.928,1,-0.7167
20260910_170203,510,28,12,4.929,1,-0.8298
20260910_170205,529,29,19,4.87,1,-1.068
20260910_170207,539,30,10,4.952,1,-0.5881
20260910_170209,551,31,12,4.749,1,-0.7363
20260910_170210,560,32,9,4.947,1,-0.572
20260910_170213,583,33,23,4.824,1,-1.424
20260910_170214,593,34,10,4.983,1,-0.6036
20260910_170216,606,35,13,4.727,1,-0.7833
20260910_170218,622,36,16,4.811,1,-1.0389
20260910_170222,672,37,50,5.486,0,-3.0241
20260910_170448,1,1,1,2.739,1,-0.0274
20260910_170449,4,2,3,4.7,1,-0.1506
20260910_170451,19,3,15,4.968,1,-0.992
20260910_170455,69,4,50,7.735,0,-4.1975
20260910_170459,119,5,50,9.302,0,-4.8799
20260910_170645,50,1,50,6.07,0,-4.613
20260910_170649,90,2,40,4.965,1,-2.8548
20260910_170653,140,3,50,9.355,0,-5.8915
20260910_170657,190,4,50,9.311,0,-5.0245
