episode,offset_x_m,offset_y_m,offset_z_m,target_x_m,target_y_m,target_z_m,initial_distance_cm,success,final_error_cm,time_s,trajectory_length_cm,steps
1,0.05,0.0,0.0,0.3562220015989447,-0.0005266520711146825,0.48626245730100476,4.999999999999999,1,4.907585415964938,0.12610650062561035,0.0015652302690584165,2
2,0.08,0.0,0.0,0.3869927445358578,-0.00016475809618366198,0.4866631503682614,8.000000000000002,1,4.995173067946293,0.6039297580718994,3.870039153166026,12
3,-0.05,0.0,0.0,0.2573259369096899,0.00011301422922150662,0.4869045122169634,4.999999999999999,1,4.813632530118726,0.05304408073425293,0.0,1
4,0.0,0.05,0.0,0.30654503113229564,0.049981916671277986,0.48630559352561215,5.0,1,4.758868929805213,0.0533750057220459,0.0,1
