run_id,checkpoint,success,termination_reason,start_x,start_y,start_z,goal_x,goal_y,goal_z,initial_distance_cm,final_distance_cm,steps,time_sec,trajectory_length_cm,mean_action_change,max_action_change,control_freq_hz,action_scale,max_step_m,goal_threshold_cm,dry_run
20260910_132003,checkpoints/panda_reach_ppo_40000_steps,False,user_interrupt,0.3071690957127764,-0.0001500389157199591,0.4871315882517634,0.4071690957127764,0.09984996108428004,0.3871315882517634,17.32050807568877,6.984581681325689,526,26.30835727509111,11.267124018521365,7.882174395490438e-05,0.002238666405901313,20,0.05,0.03,5.0,False
20260910_132340,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.30704364300120723,0.0003875593712175518,0.48654752750728003,0.4070436430012072,0.10038755937121756,0.38654752750728005,17.32050807568877,4.320872746402935,9,0.40274807903915644,13.90070911726384,0.007295853458344936,0.01377752237021923,20,0.05,0.03,5.0,False
20260910_132616,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.3071360644530803,0.0004206476311341828,0.48675952045460186,0.40713606445308026,0.10042064763113419,0.3867595204546018,17.320508075688775,4.319839862375902,9,0.4029861609451473,13.89462089118708,0.007287294138222933,0.013776510022580624,20,0.05,0.03,5.0,False
20260910_132840,checkpoints/panda_reach_ppo_40000_steps,False,user_interrupt,0.3071436111877181,0.0003978233161834292,0.4867695222288792,0.40714361118771814,0.10039782331618344,0.38676952222887917,17.320508075688775,4.269440178474922,183,9.153170208912343,17.23459757997417,0.00042780113290064037,0.013765138573944569,20,0.05,0.03,2.0,False
20260910_133546,checkpoints/panda_reach_ppo_40000_steps,False,user_interrupt,0.3070864825781204,0.00044506995501159257,0.4864572364251765,0.4070864825781204,0.1004450699550116,0.3864572364251765,17.320508075688775,4.2777108428699435,265,13.253716310951859,17.340702589621962,0.0002975126262754202,0.013793222606182098,20,0.05,0.03,2.0,False
20260910_134758,checkpoints/panda_reach_ppo_40000_steps,False,user_interrupt,0.3070986619469961,0.0004687952835227938,0.48644499105311056,0.40709866194699607,0.1004687952835228,0.3864449910531106,17.32050807568877,4.8650118890722585,127,6.352190338075161,13.703247940231611,0.00017235164705198258,0.0034248782321810722,20,0.03,0.02,2.0,False
20260910_151848_ep01,1,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.05,0.0,0.0,0.3066670576348255,0.00038564357217331374,0.48636561970972575,0.3566670576348255,0.00038564357217331374,0.48636561970972575,4.999999999999999,4.999999999999999,1,0.004737321999982669,0.0,nan,nan,20,0.05,0.03,5.0,False
20260910_151850_ep02,2,checkpoints/panda_reach_ppo_40000_steps,False,user_interrupt,0.08,0.0,0.0,0.306681973678522,0.00035199570896785065,0.48636016460830755,0.38668197367852203,0.00035199570896785065,0.48636016460830755,8.000000000000002,6.325800219715144,429,21.456634858000143,1.9310157760751678,1.6900186802869442e-05,0.00029262665241691394,20,0.05,0.03,5.0,False
20260910_151924_ep01,1,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.05,0.0,0.0,0.30735582166224584,0.0005536235771788978,0.4864513977909123,0.35735582166224583,0.0005536235771788978,0.4864513977909123,4.999999999999999,4.999999999999999,1,0.006429906999983359,0.0,nan,nan,20,0.05,0.03,5.0,False
20260910_151932_ep02,2,checkpoints/panda_reach_ppo_40000_steps,False,user_interrupt,0.08,0.0,0.0,0.30714600222246524,0.0004431710207339779,0.4864314871303095,0.38714600222246526,0.0004431710207339779,0.4864314871303095,8.000000000000002,6.353671785752733,118,5.901864756999657,1.8601065293153511,5.870236240614263e-05,0.000318758706850995,20,0.05,0.03,5.0,False
20260910_152524_ep01,1,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.05,0.0,0.0,0.3073804498787689,0.0005408956704362264,0.48634904631116993,0.3573804498787689,0.0005408956704362264,0.48634904631116993,4.999999999999999,4.999999999999999,1,0.006161980999877414,0.0,nan,nan,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152526_ep02,2,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.08,0.0,0.0,0.3071872779605728,0.0004827478897810914,0.4864237294706685,0.38718727796057284,0.0004827478897810914,0.4864237294706685,8.000000000000002,4.796275027941688,8,0.35478248999970674,4.731979039158986,0.0028027523108417112,0.0037917727448303247,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152529_ep03,3,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,-0.05,0.0,0.0,0.30728377916491284,0.0007895059835610838,0.48658350323329586,0.25728377916491285,0.0007895059835610838,0.48658350323329586,4.999999999999999,4.999999999999999,1,0.005681982000169228,0.0,nan,nan,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152532_ep04,4,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.0,0.05,0.0,0.30713787009757754,0.00043889044212876523,0.486498835177842,0.30713787009757754,0.05043889044212877,0.486498835177842,5.0,4.649868591929704,2,0.05430421299979571,0.35884899449608737,0.0014674857878593762,0.0014674857878593762,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152534_ep05,5,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.0,-0.05,0.0,0.3067102111337632,0.000458513907301742,0.48638737733906257,0.3067102111337632,-0.04954148609269826,0.48638737733906257,5.0,4.737296121601184,2,0.05659055800015267,0.31409544617037294,0.0004607607786852006,0.0004607607786852006,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152538_ep06,6,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.0,0.0,0.05,0.3065141685797252,-0.00048529920417645674,0.4861589276657568,0.3065141685797252,-0.00048529920417645674,0.5361589276657568,4.999999999999999,4.999999999999999,1,0.004830464999940887,0.0,nan,nan,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152544_ep07,7,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.0,0.0,-0.05,0.3065491889675997,-0.00036719703212998,0.4861693838560763,0.3065491889675997,-0.00036719703212998,0.4361693838560763,4.999999999999999,4.999999999999999,1,0.004068068999913521,0.0,nan,nan,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152546_ep08,8,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.05,0.05,0.0,0.3065631238157985,-0.00034178032203069765,0.48615189166524553,0.35656312381579847,0.0496582196779693,0.48615189166524553,7.0710678118654755,4.676091708517611,5,0.20555614100021558,3.772306337104827,0.0044148260246058045,0.007613636622517932,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152547_ep09,9,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,0.05,-0.05,0.0,0.30720761501086064,9.247294389820576e-05,0.4856461708950333,0.3572076150108606,-0.0499075270561018,0.4856461708950333,7.0710678118654755,4.983359027189075,10,0.4546778539997831,5.534163066035989,0.0029858816636445257,0.006991616801839303,20,0.05,0.03,5.0,900.0,30.0,False
20260910_152601_ep10,10,checkpoints/panda_reach_ppo_40000_steps,True,goal_reached,-0.05,0.05,0.0,0.30716769211002465,-1.6264743926329764e-05,0.4857222025800428,0.25716769211002466,0.04998373525607367,0.4857222025800428,7.0710678118654755,4.018177184463291,5,0.20523011500017674,3.3299664883917184,0.0012947531922909473,0.0016449590827203227,20,0.05,0.03,5.0,900.0,30.0,False
